카테고리,항목,내용
전체 구조,챕터 수,7챕터
전체 구조,스테이지 수,7챕터 × 3스테이지 = 21스테이지
전체 구조,보스 수,스테이지 보스 21 + 챕터 보스 7 = 총 28종
전체 구조,스테이지당 예상 소요,2~5일
전체 구조,챕터 클리어 예상,10~20일
전체 클리어 예상,전체,70~140일
스테이지 런,기본 흐름,마을 → 스테이지 선택 → 입장 → [일반4+정예1]×2 → [일반4+정예1+보스1] → 귀환 → 드롭 확인
스테이지 런,스테이지 구성,총 16마리 (일반 12 + 정예 3 + 스테이지 보스 1)
스테이지 런,진행 방식,스토리 모드 단일 진행 (필드런/던전런 구분 없음)
스테이지 런,스토리 모드 (첫 클리어),포탈 귀환 가능 / 진행 위치 저장 / 재입장 시 해당 몬스터부터 재개 (몬스터 체력 초기화)
스테이지 런,던전 모드 (재입장 파밍),포탈 귀환 불가 / 클리어 or 사망만 탈출 가능 / 자동 반복 ON-OFF 지원
스테이지 런,자동 반복 ON,런 완료 후 즉시 재입장 (방치 파밍)
스테이지 런,자동 반복 OFF,런 1회 후 마을 대기
스테이지 런,인벤 풀 시,자동 중지 → 자연스러운 접속 주기 결정
스테이지 런,사망 시,드롭 즉시 인벤 지급(유지) / 스테이지 처음부터 재시작 / 보스 드롭 기회 소멸 (체크포인트 없음)
챕터 보스,도전 조건,해당 챕터 3스테이지 모두 클리어
챕터 보스,첫 클리어,다음 챕터 해금 + 챕터 전용 유니크 드롭
챕터 보스,재도전,챕터 전용 유니크 반복 파밍
스폰 등급별 드롭,일반 (스테이지 전반),장비 드롭 X / 골드+강화재료+카드(극악확률)
스폰 등급별 드롭,정예 (스테이지 중반),장비 드롭 O (매직/레어) / 골드+강화재료+카드
스폰 등급별 드롭,스테이지 보스 (스테이지 마지막),장비 드롭 O (레어/유니크) / 골드+강화재료
스폰 등급별 드롭,챕터 보스,장비 드롭 O (챕터 전용 유니크) / 골드
NPC 거점,이름,죄악의 성 (중앙 허브)
NPC 거점,대장간 (챕터 1 클리어),크래프팅 + 강화
NPC 거점,낙인 공방 (챕터 2 클리어),낙인 삽입/분해
NPC 거점,상인 (챕터 3 클리어),재료 구매 (골드 소모처)
NPC 거점,흔적 조합소 (챕터 4 클리어),흔적 현황 확인 + 슬롯 조정
골드 소모처,인벤토리 확장,더 오래 방치 파밍 가능 / 누적 비용 증가
골드 소모처,스탯 리셋,빌드 방향 변경 (레벨 × N골드)
골드 소모처,상인 재료 구매,드롭 부진 시 보완 수단
골드 소모처,옵션 수치 리롤,접사 조합 유지 수치만 재랜덤 (도박적 소모)
챕터 1,죄종,분노 / Wrath
챕터 1,지역,불타는 전장 / Burning Battlefield
챕터 1,스테이지 타입 순서,Demon → Normal → Undead
챕터 1,몬스터 풀,Goblin · Orc · Imp / Wolf · Troll / Skeleton
챕터 1,분위기,끝나지 않는 전쟁이 대지를 갈아엎은 곳. 불길과 연기 쓰러진 병사들의 원한
챕터 1,챕터 보스,전장의 군주 — 분노에 물든 대장군
챕터 2,죄종,나태 / Sloth
챕터 2,지역,망각의 늪 / Swamp of Oblivion
챕터 2,스테이지 타입 순서,Undead → Demon → Normal
챕터 2,몬스터 풀,Zombie · Ghost / Goblin · Imp / Yeti · Troll
챕터 2,분위기,짙은 안개 시간이 멈춘 듯 모든 것이 천천히 썩어가는 망각의 땅
챕터 2,챕터 보스,늪의 지배자 — 움직임을 잃어버린 고대의 정령
챕터 3,죄종,탐욕 / Greed
챕터 3,지역,황금의 폐허 / Golden Ruins
챕터 3,스테이지 타입 순서,Normal → Undead → Demon
챕터 3,몬스터 풀,Lizardman · Golem / Skeleton · Vampire / Imp · Goblin
챕터 3,분위기,찬란했던 고대 왕국이 탐욕으로 무너진 자리. 금과 보석이 가득하지만 저주가 걸려있음
챕터 3,챕터 보스,황금 수호자 — 보물에 집착한 나머지 보물이 된 왕
챕터 4,죄종,시기 / Envy
챕터 4,지역,저주받은 숲 / Cursed Forest
챕터 4,스테이지 타입 순서,Normal → Demon → Undead
챕터 4,몬스터 풀,Wolf · Lizardman / Succubus · Orc / Ghost · Zombie
챕터 4,분위기,뒤틀린 나무들 다른 존재의 힘을 탐내는 그림자. 변형된 생물들의 땅
챕터 4,챕터 보스,숲의 거울 — 침입자의 모습을 복사하는 시기의 화신
챕터 5,죄종,폭식 / Gluttony
챕터 5,지역,심연의 동굴 / Caverns of the Abyss
챕터 5,스테이지 타입 순서,Undead → Normal → Demon
챕터 5,몬스터 풀,Zombie · Lich / Yeti · Golem / Gargoyle · Orc
챕터 5,분위기,끝없이 이어지는 동굴. 모든 것을 삼키는 살아있는 미로
챕터 5,챕터 보스,심연의 입 — 모든 것을 집어삼키는 폭식의 화신
챕터 6,죄종,색욕 / Lust
챕터 6,지역,타락한 궁전 / Corrupted Palace
챕터 6,스테이지 타입 순서,Demon → Undead → Normal
챕터 6,몬스터 풀,Succubus · Imp / Vampire · Ghost / Lizardman · Troll
챕터 6,분위기,화려하지만 부패한 궁전. 유혹과 함정 욕망에 잠식된 하수인들
챕터 6,챕터 보스,궁전의 여왕 — 욕망을 먹고 신이 된 색욕의 화신
챕터 7,죄종,오만 / Pride
챕터 7,지역,신의 폐허 / Ruins of God
챕터 7,스테이지 타입 순서,Demon → Normal → Undead
챕터 7,몬스터 풀,Gargoyle · Orc / Golem · Yeti / Lich · Vampire
챕터 7,분위기,신이 살았던 곳의 잔해. 모든 죄의 근원이 잠든 최후의 땅
챕터 7,챕터 보스,타락한 신 — 스스로를 신이라 칭하다 추락한 오만의 끝
